n,estimate,ci95
66000,1.1749652981142887e-05,4.470197936071583e-06
66400,1.1679146856946911e-05,4.443274385660029e-06
66800,1.168619735191423e-05,4.418828837916326e-06
67200,1.186907755994356e-05,4.416572834672778e-06
67600,1.185617539743198e-05,4.391110889488042e-06
68000,1.1831687699805343e-05,4.365957799586741e-06
68400,1.1844089528403246e-05,4.343331869091069e-06
68800,1.1797814737309952e-05,4.318158980597275e-06
69200,1.198896710730838e-05,4.310346870603218e-06
69600,1.1926953284191384e-05,4.28559156211621e-06
70000,1.1993016455095546e-05,4.266913131491295e-06
70400,1.1932206219868664e-05,4.242682047089694e-06
70800,1.1998670396480309e-05,4.222525549835565e-06
71200,1.1932119032194243e-05,4.198808795935871e-06
71600,1.1949038738417197e-05,4.1785126971632195e-06
72000,1.1915988606876679e-05,4.155438603524425e-06
72400,1.185440131961534e-05,4.132487574814192e-06
72800,1.179015288839318e-05,4.109786480746464e-06
73200,1.1759452169114126e-05,4.087686111159946e-06
73600,1.169620038737235e-05,4.065475183409305e-06
74000,1.172877290077804e-05,4.047552934684928e-06
74400,1.1724701802641937e-05,4.026296473631924e-06
74800,1.1706886547442623e-05,4.005537172252767e-06
75200,1.165225206579739e-05,3.984241378779315e-06
75600,1.166179021642854e-05,3.964305271741512e-06
76000,1.1601268910950671e-05,3.943445035140625e-06
76400,1.1578590827864231e-05,3.9234795375971925e-06
76800,1.1524358364227299e-05,3.903053282392885e-06
77200,1.1469377841893742e-05,3.8828398868977045e-06
77600,1.1452939959553704e-05,3.863425030323831e-06
78000,1.1507908023284664e-05,3.849829885601221e-06
78400,1.1615764066019208e-05,3.840238380510728e-06
78800,1.156663642161511e-05,3.8207927940282975e-06
79200,1.1517608430434539e-05,3.8015294198552805e-06
79600,1.146076186571513e-05,3.782430506880644e-06
80000,1.141519001327889e-05,3.7635649052009525e-06
