n,estimate,ci95
52500,0.0,5.714285714285714e-05
53000,0.0,5.660377358490566e-05
53500,0.0,5.607476635514019e-05
54000,0.0,5.555555555555556e-05
54500,0.0,5.504587155963303e-05
55000,0.0,5.4545454545454546e-05
55500,0.0,5.4054054054054054e-05
56000,0.0,5.357142857142857e-05
56500,0.0,5.3097345132743365e-05
57000,0.0,5.2631578947368424e-05
57500,0.0,5.217391304347826e-05
58000,0.0,5.172413793103448e-05
58500,0.0,5.128205128205128e-05
59000,0.0,5.0847457627118643e-05
59500,0.0,5.042016806722689e-05
60000,0.0,5e-05
60500,0.0,4.958677685950413e-05
61000,0.0,4.9180327868852456e-05
61500,0.0,4.878048780487805e-05
62000,0.0,4.838709677419355e-05
62500,0.0,4.8e-05
63000,0.0,4.761904761904762e-05
63500,0.0,4.724409448818898e-05
64000,0.0,4.6875e-05
64500,0.0,4.651162790697674e-05
65000,0.0,4.615384615384615e-05
65500,0.0,4.580152671755725e-05
66000,0.0,4.545454545454545e-05
66500,0.0,4.511278195488722e-05
67000,0.0,4.477611940298508e-05
67500,0.0,4.4444444444444447e-05
68000,0.0,4.411764705882353e-05
68500,0.0,4.37956204379562e-05
69000,0.0,4.347826086956522e-05
69500,0.0,4.3165467625899284e-05
70000,0.0,4.2857142857142856e-05
70500,0.0,4.2553191489361704e-05
71000,0.0,4.225352112676056e-05
71500,0.0,4.195804195804196e-05
72000,0.0,4.1666666666666665e-05
72500,0.0,4.1379310344827587e-05
73000,0.0,4.1095890410958905e-05
73500,0.0,4.0816326530612245e-05
74000,0.0,4.054054054054054e-05
74500,0.0,4.026845637583893e-05
75000,0.0,4e-05
75500,0.0,3.9735099337748346e-05
76000,0.0,3.9473684210526316e-05
76500,0.0,3.9215686274509805e-05
77000,0.0,3.896103896103896e-05
77500,0.0,3.870967741935484e-05
78000,0.0,3.846153846153846e-05
78500,0.0,3.821656050955414e-05
79000,0.0,3.79746835443038e-05
79500,0.0,3.7735849056603776e-05
80000,0.0,3.75e-05
80500,0.0,3.7267080745341614e-05
81000,0.0,3.7037037037037037e-05
81500,0.0,3.6809815950920246e-05
82000,0.0,3.6585365853658535e-05
82500,0.0,3.6363636363636364e-05
83000,0.0,3.614457831325301e-05
83500,0.0,3.592814371257485e-05
84000,0.0,3.571428571428572e-05
84500,0.0,3.5502958579881656e-05
85000,0.0,3.529411764705882e-05
85500,0.0,3.508771929824561e-05
86000,0.0,3.4883720930232556e-05
86500,0.0,3.468208092485549e-05
87000,0.0,3.4482758620689657e-05
87500,0.0,3.4285714285714284e-05
88000,0.0,3.409090909090909e-05
88500,0.0,3.389830508474576e-05
89000,0.0,3.370786516853932e-05
89500,0.0,3.35195530726257e-05
90000,0.0,3.3333333333333335e-05
90500,0.0,3.3149171270718233e-05
91000,0.0,3.2967032967032964e-05
91500,0.0,3.278688524590164e-05
92000,0.0,3.260869565217391e-05
92500,0.0,3.243243243243243e-05
93000,0.0,3.2258064516129034e-05
93500,0.0,3.20855614973262e-05
94000,0.0,3.1914893617021275e-05
94500,0.0,3.1746031746031745e-05
95000,0.0,3.157894736842105e-05
95500,0.0,3.141361256544503e-05
96000,0.0,3.125e-05
96500,0.0,3.108808290155441e-05
97000,0.0,3.0927835051546395e-05
97500,0.0,3.076923076923077e-05
98000,0.0,3.061224489795918e-05
98500,0.0,3.045685279187817e-05
99000,0.0,3.0303030303030302e-05
99500,0.0,3.015075376884422e-05
100000,0.0,3e-05
